Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  150    287.41      4.10      -1      0     287.41      0.00      291.51      4.10
  151    287.83      3.88      -1      2     287.83      0.00      291.71      3.88
  152    297.91      19.29      -1      0     297.91      0.00      317.20      19.29
  153    298.05      0.95      -1      2     298.05      0.00      299.00      0.95
  154    299.42      3.03      -1      2     299.42      0.00      302.45      3.03
  156    303.74      3.35      -1      2     303.74      0.00      307.09      3.35
  157    304.04      4.12      2      2     307.09      3.05      311.21      7.17
  149    278.44      3.91      1      1     311.78      33.34      315.69      37.25
  160    313.44      7.27      -1      2     313.44      0.00      320.71      7.27
  159    306.62      4.33      1      1     315.69      9.07      320.01      13.39
  155    300.05      19.83      0      0     317.20      17.16      337.04      36.99
  162    314.35      3.81      1      1     320.01      5.67      323.82      9.48
  161    313.87      1.60      2      2     320.71      6.84      322.31      8.44
  164    322.40      2.35      -1      2     322.40      0.00      324.75      2.35
  163    321.12      8.88      1      1     323.82      2.70      332.70      11.58
  165    329.14      7.81      -1      2     329.14      0.00      336.95      7.81
  166    329.15      3.39      1      1     332.70      3.55      336.09      6.94
  169    331.05      29.35      1      1     336.09      5.04      365.44      34.39
  167    329.46      8.75      2      2     336.95      7.49      345.70      16.24
  158    305.06      0.30      0      0     337.04      31.98      337.33      32.28
  168    329.59      2.81      0      0     337.33      7.74      340.14      10.55
  170    338.29      11.70      0      0     340.14      1.85      351.84      13.55
  172    339.14      8.80      2      2     345.70      6.56      354.50      15.36
  173    343.63      3.69      0      0     351.84      8.21      355.54      11.90
  174    347.91      13.50      2      2     354.50      6.60      368.00      20.10
  175    348.82      6.55      0      0     355.54      6.72      362.09      13.27
  178    349.83      11.39      0      0     362.09      12.26      373.48      23.65
  171    339.09      11.19      1      1     365.44      26.34      376.62      37.53
  177    349.63      3.74      2      2     368.00      18.37      371.74      22.12
  180    351.08      5.82      2      2     371.74      20.66      377.57      26.49
  181    351.09      10.36      0      0     373.48      22.39      383.84      32.75
  176    348.94      3.09      1      1     376.62      27.68      379.71      30.77
  184    358.14      22.58      2      2     377.57      19.43      400.15      42.02
  179    350.86      11.76      1      1     379.71      28.86      391.48      40.62
  182    353.05      1.80      0      0     383.84      30.78      385.63      32.58
  185    358.47      5.92      0      0     385.63      27.17      391.55      33.08
